State,Mean
Alabama,2800665869.403
Arizona,18205831000.0
Arkansas,1491022543.333
California,39255744159.483
Colorado,4532295902.344
Connecticut,30175987156.25
Delaware,20878402666.667
District of Columbia,114390500000.0
Florida,11932182078.358
Georgia,2896556308.176
Idaho,1375439892.045
Illinois,7169496840.686
Indiana,3333621342.391
Iowa,1637191267.677
Kansas,1358419402.381
Kentucky,1493476262.5
Louisiana,3619597816.406
Maine,3321591718.75
Maryland,14101439447.917
Massachusetts,32396908625.0
Michigan,5172281310.241
Minnesota,3497891333.333
Mississippi,1218117176.829
Missouri,2370631091.304
Montana,769975821.429
Nebraska,1142195884.409
Nevada,7668024617.647
New Hampshire,6938746925.0
New Jersey,25050478214.286
New Mexico,2686694446.97
New York,21624667697.581
North Carolina,4523660637.5
North Dakota,1015082594.34
Ohio,6376434713.068
Oklahoma,2385887922.078
Oregon,5029292604.167
Pennsylvania,9852809481.343
Rhode Island,10447618700.0
South Carolina,3955402391.304
South Dakota,669060132.576
Tennessee,3062775302.632
Texas,5908472995.079
Utah,4640776672.414
Vermont,2050230875.0
Virginia,3179554896.341
Washington,10783268307.692
West Virginia,1268994959.091
Wisconsin,3888267861.111
Wyoming,1688115282.609
