index,Year,State,GDP (Chained $)
2393,2012-01-01,Alabama,1482770000.0
2394,2012-01-01,Alabama,5016735000.0
2395,2012-01-01,Alabama,726909000.0
2396,2012-01-01,Alabama,374435000.0
2397,2012-01-01,Alabama,804763000.0
2398,2012-01-01,Alabama,253214000.0
2399,2012-01-01,Alabama,565044000.0
2400,2012-01-01,Alabama,4260733000.0
2401,2012-01-01,Alabama,752850000.0
2402,2012-01-01,Alabama,486349000.0
2403,2012-01-01,Alabama,820985000.0
2404,2012-01-01,Alabama,568763000.0
2405,2012-01-01,Alabama,800455000.0
2406,2012-01-01,Alabama,282082000.0
2407,2012-01-01,Alabama,270776000.0
2408,2012-01-01,Alabama,1198684000.0
2409,2012-01-01,Alabama,2423750000.0
2410,2012-01-01,Alabama,513044000.0
2411,2012-01-01,Alabama,157905000.0
2412,2012-01-01,Alabama,1105577000.0
2413,2012-01-01,Alabama,414188000.0
2414,2012-01-01,Alabama,2298846000.0
2415,2012-01-01,Alabama,2689377000.0
2416,2012-01-01,Alabama,1254605000.0
2417,2012-01-01,Alabama,1589171000.0
2418,2012-01-01,Alabama,1559648000.0
2419,2012-01-01,Alabama,1250140000.0
2420,2012-01-01,Alabama,2801621000.0
2421,2012-01-01,Alabama,456379000.0
2422,2012-01-01,Alabama,846161000.0
2423,2012-01-01,Alabama,474268000.0
2424,2012-01-01,Alabama,292866000.0
2425,2012-01-01,Alabama,300089000.0
2426,2012-01-01,Alabama,316972000.0
2427,2012-01-01,Alabama,4209805000.0
2428,2012-01-01,Alabama,1556659000.0
2429,2012-01-01,Alabama,39515681000.0
2430,2012-01-01,Alabama,319162000.0
2431,2012-01-01,Alabama,2490796000.0
2432,2012-01-01,Alabama,797752000.0
2433,2012-01-01,Alabama,4578973000.0
2434,2012-01-01,Alabama,2970593000.0
2435,2012-01-01,Alabama,444095000.0
2436,2012-01-01,Alabama,485252000.0
2437,2012-01-01,Alabama,19512201000.0
2438,2012-01-01,Alabama,670787000.0
2439,2012-01-01,Alabama,797023000.0
2440,2012-01-01,Alabama,2763122000.0
2441,2012-01-01,Alabama,17901892000.0
2442,2012-01-01,Alabama,665614000.0
2443,2012-01-01,Alabama,12235434000.0
2444,2012-01-01,Alabama,4515001000.0
2445,2012-01-01,Alabama,229993000.0
2446,2012-01-01,Alabama,343674000.0
2447,2012-01-01,Alabama,1176489000.0
2448,2012-01-01,Alabama,391438000.0
2449,2012-01-01,Alabama,1265157000.0
2450,2012-01-01,Alabama,1624555000.0
2451,2012-01-01,Alabama,8268481000.0
2452,2012-01-01,Alabama,351774000.0
2453,2012-01-01,Alabama,2767076000.0
2454,2012-01-01,Alabama,1146236000.0
2455,2012-01-01,Alabama,9382954000.0
2456,2012-01-01,Alabama,1795958000.0
2457,2012-01-01,Alabama,742552000.0
2458,2012-01-01,Alabama,353909000.0
2459,2012-01-01,Alabama,618744000.0
2489,2012-01-01,Arizona,2728727000.0
2490,2012-01-01,Arizona,4437565000.0
2491,2012-01-01,Arizona,6155174000.0
2492,2012-01-01,Arizona,1909738000.0
2493,2012-01-01,Arizona,912285000.0
2494,2012-01-01,Arizona,1532472000.0
2495,2012-01-01,Arizona,586515000.0
2496,2012-01-01,Arizona,186117000000.0
2497,2012-01-01,Arizona,4503558000.0
2498,2012-01-01,Arizona,3315681000.0
2499,2012-01-01,Arizona,36431583000.0
2500,2012-01-01,Arizona,6682699000.0
2501,2012-01-01,Arizona,1546534000.0
2502,2012-01-01,Arizona,5400875000.0
2503,2012-01-01,Arizona,6028238000.0
2504,2012-01-01,Arkansas,939725000.0
2505,2012-01-01,Arkansas,920808000.0
2506,2012-01-01,Arkansas,1083263000.0
2507,2012-01-01,Arkansas,9989941000.0
2508,2012-01-01,Arkansas,1127099000.0
2509,2012-01-01,Arkansas,301748000.0
2510,2012-01-01,Arkansas,288221000.0
2511,2012-01-01,Arkansas,655935000.0
2512,2012-01-01,Arkansas,338340000.0
2513,2012-01-01,Arkansas,710820000.0
2514,2012-01-01,Arkansas,387653000.0
2515,2012-01-01,Arkansas,820163000.0
2516,2012-01-01,Arkansas,119290000.0
2517,2012-01-01,Arkansas,887285000.0
2518,2012-01-01,Arkansas,934217000.0
2519,2012-01-01,Arkansas,3775729000.0
2520,2012-01-01,Arkansas,1535780000.0
2521,2012-01-01,Arkansas,1438496000.0
2522,2012-01-01,Arkansas,461134000.0
2523,2012-01-01,Arkansas,203032000.0
2524,2012-01-01,Arkansas,539745000.0
2525,2012-01-01,Arkansas,581197000.0
2526,2012-01-01,Arkansas,3657068000.0
2527,2012-01-01,Arkansas,408458000.0
2528,2012-01-01,Arkansas,181996000.0
2529,2012-01-01,Arkansas,2882191000.0
2530,2012-01-01,Arkansas,347021000.0
2531,2012-01-01,Arkansas,1322848000.0
2532,2012-01-01,Arkansas,718400000.0
2533,2012-01-01,Arkansas,836992000.0
2534,2012-01-01,Arkansas,516011000.0
2535,2012-01-01,Arkansas,1694692000.0
2536,2012-01-01,Arkansas,279312000.0
2537,2012-01-01,Arkansas,577056000.0
2538,2012-01-01,Arkansas,3337710000.0
2539,2012-01-01,Arkansas,634857000.0
2540,2012-01-01,Arkansas,183432000.0
2541,2012-01-01,Arkansas,396799000.0
2542,2012-01-01,Arkansas,236232000.0
2543,2012-01-01,Arkansas,261800000.0
2544,2012-01-01,Arkansas,540962000.0
2545,2012-01-01,Arkansas,523544000.0
2546,2012-01-01,Arkansas,1101740000.0
2547,2012-01-01,Arkansas,307184000.0
2548,2012-01-01,Arkansas,404560000.0
2549,2012-01-01,Arkansas,1250665000.0
2550,2012-01-01,Arkansas,2255205000.0
2551,2012-01-01,Arkansas,241945000.0
2552,2012-01-01,Arkansas,154776000.0
2553,2012-01-01,Arkansas,238051000.0
2554,2012-01-01,Arkansas,104212000.0
2555,2012-01-01,Arkansas,626843000.0
2556,2012-01-01,Arkansas,137262000.0
2557,2012-01-01,Arkansas,532930000.0
2558,2012-01-01,Arkansas,220195000.0
2559,2012-01-01,Arkansas,574294000.0
2560,2012-01-01,Arkansas,461245000.0
2561,2012-01-01,Arkansas,2599080000.0
2562,2012-01-01,Arkansas,195451000.0
2563,2012-01-01,Arkansas,25137955000.0
2564,2012-01-01,Arkansas,372702000.0
2565,2012-01-01,Arkansas,687626000.0
2566,2012-01-01,Arkansas,1872230000.0
2567,2012-01-01,Arkansas,233162000.0
2568,2012-01-01,Arkansas,138845000.0
2569,2012-01-01,Arkansas,6159528000.0
2570,2012-01-01,Arkansas,386448000.0
2571,2012-01-01,Arkansas,297104000.0
2572,2012-01-01,Arkansas,214418000.0
2573,2012-01-01,Arkansas,2264594000.0
2574,2012-01-01,Arkansas,748821000.0
2575,2012-01-01,Arkansas,8065992000.0
2576,2012-01-01,Arkansas,2457516000.0
2577,2012-01-01,Arkansas,250794000.0
2578,2012-01-01,Arkansas,474778000.0
2579,2012-01-01,California,97170941000.0
2580,2012-01-01,California,168411000.0
2581,2012-01-01,California,1372634000.0
2582,2012-01-01,California,7682299000.0
2583,2012-01-01,California,1160530000.0
2584,2012-01-01,California,1319249000.0
2585,2012-01-01,California,61245902000.0
2586,2012-01-01,California,832732000.0
2587,2012-01-01,California,5919994000.0
2588,2012-01-01,California,35320177000.0
2589,2012-01-01,California,1114944000.0
2590,2012-01-01,California,5110816000.0
2591,2012-01-01,California,6900001000.0
2592,2012-01-01,California,1095813000.0
2593,2012-01-01,California,47583866000.0
2594,2012-01-01,California,5351339000.0
2595,2012-01-01,California,1807263000.0
2596,2012-01-01,California,1236708000.0
2597,2012-01-01,California,594533000000.0
2598,2012-01-01,California,5236840000.0
2599,2012-01-01,California,17253018000.0
2600,2012-01-01,California,655234000.0
2601,2012-01-01,California,3165290000.0
2602,2012-01-01,California,7673815000.0
2603,2012-01-01,California,407024000.0
2604,2012-01-01,California,903930000.0
2605,2012-01-01,California,21334753000.0
2606,2012-01-01,California,8125419000.0
2607,2012-01-01,California,3767125000.0
2608,2012-01-01,California,193548000000.0
2609,2012-01-01,California,15662052000.0
2610,2012-01-01,California,948114000.0
2611,2012-01-01,California,63086241000.0
2612,2012-01-01,California,71078822000.0
2613,2012-01-01,California,1871963000.0
2614,2012-01-01,California,69510597000.0
2615,2012-01-01,California,180338000000.0
2616,2012-01-01,California,111944000000.0
2617,2012-01-01,California,23479293000.0
2618,2012-01-01,California,13717226000.0
2619,2012-01-01,California,76980869000.0
2620,2012-01-01,California,23238831000.0
2621,2012-01-01,California,192296000000.0
2622,2012-01-01,California,11919564000.0
2623,2012-01-01,California,6664456000.0
2624,2012-01-01,California,156760000.0
2625,2012-01-01,California,1613786000.0
2626,2012-01-01,California,19232849000.0
2627,2012-01-01,California,22862195000.0
2628,2012-01-01,California,18174763000.0
2629,2012-01-01,California,3093165000.0
2630,2012-01-01,California,1662213000.0
2631,2012-01-01,California,438593000.0
2632,2012-01-01,California,13982531000.0
2633,2012-01-01,California,2124067000.0
2634,2012-01-01,California,45787564000.0
2635,2012-01-01,California,10933122000.0
2636,2012-01-01,California,2702116000.0
2637,2012-01-01,Colorado,18583034000.0
2638,2012-01-01,Colorado,614267000.0
2639,2012-01-01,Colorado,34093393000.0
2640,2012-01-01,Colorado,419589000.0
2641,2012-01-01,Colorado,145896000.0
2642,2012-01-01,Colorado,164357000.0
2643,2012-01-01,Colorado,20432621000.0
2644,2012-01-01,Colorado,6984737000.0
2645,2012-01-01,Colorado,556676000.0
2646,2012-01-01,Colorado,221785000.0
2647,2012-01-01,Colorado,518277000.0
2648,2012-01-01,Colorado,173656000.0
2649,2012-01-01,Colorado,88851000.0
2650,2012-01-01,Colorado,127998000.0
2651,2012-01-01,Colorado,118117000.0
2652,2012-01-01,Colorado,897094000.0
2653,2012-01-01,Colorado,54750675000.0
2654,2012-01-01,Colorado,102828000.0
2655,2012-01-01,Colorado,12582070000.0
2656,2012-01-01,Colorado,2569140000.0
2657,2012-01-01,Colorado,370606000.0
2658,2012-01-01,Colorado,28776560000.0
2659,2012-01-01,Colorado,1231277000.0
2660,2012-01-01,Colorado,3816191000.0
2661,2012-01-01,Colorado,537548000.0
2662,2012-01-01,Colorado,606255000.0
2663,2012-01-01,Colorado,1108495000.0
2664,2012-01-01,Colorado,47290000.0
2665,2012-01-01,Colorado,207675000.0
2666,2012-01-01,Colorado,67984000.0
2667,2012-01-01,Colorado,24116713000.0
2668,2012-01-01,Colorado,93751000.0
2669,2012-01-01,Colorado,392480000.0
2670,2012-01-01,Colorado,278563000.0
2671,2012-01-01,Colorado,3162531000.0
2672,2012-01-01,Colorado,13104708000.0
2673,2012-01-01,Colorado,684577000.0
2674,2012-01-01,Colorado,291455000.0
2675,2012-01-01,Colorado,1080428000.0
2676,2012-01-01,Colorado,5646768000.0
2677,2012-01-01,Colorado,62167000.0
2678,2012-01-01,Colorado,1118184000.0
2679,2012-01-01,Colorado,1534375000.0
2680,2012-01-01,Colorado,1275629000.0
2681,2012-01-01,Colorado,1377968000.0
2682,2012-01-01,Colorado,578519000.0
2683,2012-01-01,Colorado,159276000.0
2684,2012-01-01,Colorado,336480000.0
2685,2012-01-01,Colorado,238405000.0
2686,2012-01-01,Colorado,1585597000.0
2687,2012-01-01,Colorado,565681000.0
2688,2012-01-01,Colorado,5589514000.0
2689,2012-01-01,Colorado,807629000.0
2690,2012-01-01,Colorado,373685000.0
2691,2012-01-01,Colorado,1859168000.0
2692,2012-01-01,Colorado,165799000.0
2693,2012-01-01,Colorado,46672000.0
2694,2012-01-01,Colorado,465064000.0
2695,2012-01-01,Colorado,143865000.0
2696,2012-01-01,Colorado,1737460000.0
2697,2012-01-01,Colorado,759624000.0
2698,2012-01-01,Colorado,250054000.0
2699,2012-01-01,Colorado,11925849000.0
2700,2012-01-01,Colorado,795924000.0
2701,2012-01-01,Connecticut,81498346000.0
2702,2012-01-01,Connecticut,73579121000.0
2703,2012-01-01,Connecticut,8097907000.0
2704,2012-01-01,Connecticut,8772042000.0
2705,2012-01-01,Connecticut,45646650000.0
2706,2012-01-01,Connecticut,16750055000.0
2707,2012-01-01,Connecticut,4941983000.0
2708,2012-01-01,Connecticut,4514867000.0
2709,2012-01-01,Delaware,6524166000.0
2710,2012-01-01,Delaware,45961287000.0
2711,2012-01-01,Delaware,9490306000.0
2712,2012-01-01,District of Columbia,112736000000.0
2713,2012-01-01,Florida,10938232000.0
2714,2012-01-01,Florida,532783000.0
2715,2012-01-01,Florida,6952683000.0
2716,2012-01-01,Florida,592699000.0
2717,2012-01-01,Florida,19247542000.0
2718,2012-01-01,Florida,81093194000.0
2719,2012-01-01,Florida,253663000.0
2720,2012-01-01,Florida,3902969000.0
2721,2012-01-01,Florida,3517306000.0
2722,2012-01-01,Florida,3713420000.0
2723,2012-01-01,Florida,12427586000.0
2724,2012-01-01,Florida,1805791000.0
2725,2012-01-01,Florida,796332000.0
2726,2012-01-01,Florida,243042000.0
2727,2012-01-01,Florida,48594946000.0
2728,2012-01-01,Florida,12805029000.0
2729,2012-01-01,Florida,1762364000.0
2730,2012-01-01,Florida,351501000.0
2731,2012-01-01,Florida,1247140000.0
2732,2012-01-01,Florida,312719000.0
2733,2012-01-01,Florida,256639000.0
2734,2012-01-01,Florida,359578000.0
2735,2012-01-01,Florida,395073000.0
2736,2012-01-01,Florida,1119102000.0
2737,2012-01-01,Florida,1170603000.0
2738,2012-01-01,Florida,3200989000.0
2739,2012-01-01,Florida,2375241000.0
2740,2012-01-01,Florida,67458171000.0
2741,2012-01-01,Florida,329497000.0
2742,2012-01-01,Florida,4501931000.0
2743,2012-01-01,Florida,1170989000.0
2744,2012-01-01,Florida,279065000.0
2745,2012-01-01,Florida,187936000.0
2746,2012-01-01,Florida,6847077000.0
2747,2012-01-01,Florida,21694925000.0
2748,2012-01-01,Florida,12867527000.0
