Date,Holiday,WeekDay,Month,Day,Year
04-07-2012,4th of July,Wednesday,7,4,2012
04-07-2013,4th of July,Thursday,7,4,2013
04-07-2014,4th of July,Friday,7,4,2014
04-07-2015,4th of July,Saturday,7,4,2015
25-12-2012,Christmas Day,Tuesday,12,25,2012
25-12-2013,Christmas Day,Wednesday,12,25,2013
25-12-2014,Christmas Day,Thursday,12,25,2014
25-12-2015,Christmas Day,Friday,12,25,2015
24-12-2012,Christmas Eve,Monday,12,24,2012
24-12-2013,Christmas Eve,Tuesday,12,24,2013
24-12-2014,Christmas Eve,Wednesday,12,24,2014
24-12-2015,Christmas Eve,Thursday,12,24,2015
08-10-2012,Columbus Day,Monday,10,8,2012
12-10-2015,Columbus Day,Monday,10,12,2015
13-10-2014,Columbus Day,Monday,10,13,2014
14-10-2013,Columbus Day,Monday,10,14,2013
12-04-2015,Eastern Easter,Sunday,4,12,2015
15-04-2012,Eastern Easter,Sunday,4,15,2012
20-04-2014,Eastern Easter,Sunday,4,20,2014
05-05-2013,Eastern Easter,Sunday,5,5,2013
19-06-2012,Juneteenth,Tuesday,6,19,2012
19-06-2013,Juneteenth,Wednesday,6,19,2013
19-06-2014,Juneteenth,Thursday,6,19,2014
19-06-2015,Juneteenth,Friday,6,19,2015
01-09-2014,Labor Day,Monday,9,1,2014
02-09-2013,Labor Day,Monday,9,2,2013
03-09-2012,Labor Day,Monday,9,3,2012
07-09-2015,Labor Day,Monday,9,7,2015
30-08-2014,Labor Day Weekend,Saturday,9,30,2014
31-08-2014,Labor Day Weekend,Sunday,9,31,2014
31-08-2013,Labor Day Weekend,Saturday,9,31,2013
01-09-2013,Labor Day Weekend,Sunday,9,1,2013
01-09-2012,Labor Day Weekend,Saturday,9,1,2012
02-09-2012,Labor Day Weekend,Sunday,9,2,2012
05-09-2015,Labor Day Weekend,Saturday,9,5,2015
06-09-2015,Labor Day Weekend,Sunday,9,6,2015
16-01-2012,"Martin Luther King, Jr. Day",Monday,1,16,2012
19-01-2015,"Martin Luther King, Jr. Day",Monday,1,19,2015
20-01-2014,"Martin Luther King, Jr. Day",Monday,1,20,2014
21-01-2013,"Martin Luther King, Jr. Day",Monday,1,21,2013
25-05-2015,Memorial Day,Monday,5,25,2015
26-05-2014,Memorial Day,Monday,5,26,2014
27-05-2013,Memorial Day,Monday,5,27,2013
28-05-2012,Memorial Day,Monday,5,28,2012
01-01-2012,New Year's Day,Sunday,1,1,2012
01-01-2013,New Year's Day,Tuesday,1,1,2013
01-01-2014,New Year's Day,Wednesday,1,1,2014
01-01-2015,New Year's Day,Thursday,1,1,2015
31-12-2012,New Years Eve,Monday,12,31,2012
31-12-2013,New Years Eve,Tuesday,12,31,2013
31-12-2014,New Years Eve,Wednesday,12,31,2014
31-12-2015,New Years Eve,Thursday,12,31,2015
22-11-2012,Thanksgiving Day,Thursday,11,22,2012
26-11-2015,Thanksgiving Day,Thursday,11,26,2015
27-11-2014,Thanksgiving Day,Thursday,11,27,2014
28-11-2013,Thanksgiving Day,Thursday,11,28,2013
21-11-2012,Thanksgiving Eve,Wednesday,11,21,2012
25-11-2015,Thanksgiving Eve,Wednesday,11,25,2015
26-11-2014,Thanksgiving Eve,Wednesday,11,26,2014
27-11-2013,Thanksgiving Eve,Wednesday,11,27,2013
14-02-2012,Valentines Day,Tuesday,2,14,2012
14-02-2013,Valentines Day,Thursday,2,14,2013
14-02-2014,Valentines Day,Friday,2,14,2014
14-02-2015,Valentines Day,Saturday,2,14,2015
11-11-2012,Veterans Day,Sunday,11,11,2012
11-11-2013,Veterans Day,Monday,11,11,2013
11-11-2014,Veterans Day,Tuesday,11,11,2014
11-11-2015,Veterans Day,Wednesday,11,11,2015
16-02-2015,Washington's Birthday,Monday,2,16,2015
17-02-2014,Washington's Birthday,Monday,2,17,2014
18-02-2013,Washington's Birthday,Monday,2,18,2013
20-02-2012,Washington's Birthday,Monday,2,20,2012
31-03-2013,Western Easter,Sunday,3,31,2013
05-04-2015,Western Easter,Sunday,4,5,2015
08-04-2012,Western Easter,Sunday,4,8,2012
20-04-2014,Western Easter,Sunday,4,20,2014
