TransactionKey;ProductKey;CustomerKey;OrderKey;OrderDateKey;ShipDateKey;SellerKey;Sales;Quantity;Discount;Profit;Shipping Cost
1;1;1293;1;264;276;1;82.674;2;0.7;-157.086;5.69
2;2;1293;1;264;276;1;78.408;6;0.7;-88.992;3.87
3;3;61;2;992;1014;2;224.748;6;0.7;-232.272;60.08
4;4;61;2;992;1014;2;4.248;1;0.7;-4.692;1.1
5;5;3371;3;1069;1095;2;6.966;1;0.7;-8.604;1.75
6;6;3371;3;1069;1095;2;16.668;2;0.7;-29.472;1.41
7;7;4;4;1412;1445;2;95.796;4;0.7;-156.564;6.73
8;8;4;4;1412;1445;2;59.373;1;0.7;-118.767;5.83
9;9;4;4;1412;1445;2;77.256;8;0.7;-82.584;4.08
10;10;4;4;1412;1445;2;42.489;1;0.7;-62.331;2.24
11;11;4;4;1412;1445;2;3.159;1;0.7;-4.971;1.25
12;12;4;4;1412;1445;2;3.429;1;0.7;-3.891;1.25
13;13;2133;5;1134;1162;1;6.426;2;0.7;-11.574;1.49
14;14;178;6;1374;1404;1;42.48;1;0.7;-75.06;8.04
15;15;19;7;107;111;3;298.68;2;0;53.76;47.5
16;16;3;8;7;8;3;91.38;2;0;14.58;4.36
17;17;188;9;216;225;3;276.96;2;0;11.04;20.15
18;18;208;10;69;71;4;35.97;1;0;7.17;2.83
19;19;2;11;314;327;5;54.9;2;0;15.36;3.48
20;20;129;12;298;311;3;10.92;1;0;4.14;2.05
21;21;173;13;138;143;6;874.68;2;0;148.68;78.7
22;22;173;14;170;179;7;433.92;8;0;164.88;15.37
23;23;173;14;170;179;7;63;4;0;6.84;3.98
24;24;173;14;170;179;7;13.32;1;0;5.46;1.88
25;25;475;15;61;64;3;113.28;1;0;29.43;9.51
26;26;43;16;336;350;5;58.74;2;0;20.52;3.04
27;27;296;17;218;229;8;581.04;12;0;220.68;35.32
28;28;296;17;218;229;8;26.22;2;0;1.8;2.41
29;29;1125;18;342;354;9;1589.4;6;0;349.56;102.07
30;30;694;19;340;357;10;1111.56;4;0;55.56;162.67
31;31;694;19;340;357;10;260.49;1;0;31.23;24.2
32;32;694;19;340;357;10;103.92;2;0;0;10.87
33;33;2286;20;293;304;8;24.72;1;0;10.86;4.29
34;34;13;21;191;201;7;55.44;4;0;19.32;3.98
35;35;13;22;346;357;3;116.04;2;0;27.84;9.32
36;36;53;23;340;355;5;198.09;1;0;29.7;12.63
37;37;517;24;55;52;3;613.26;2;0;202.32;241.33
38;38;517;24;55;52;3;393.96;2;0;78.78;110.6
39;39;517;24;55;52;3;339.3;10;0;37.2;27.29
40;40;517;24;55;52;3;53.52;4;0;12.84;22.06
41;41;517;24;55;52;3;8.37;1;0;0.57;2.14
42;42;2084;25;159;162;3;11.37;1;0;4.08;3.8
43;43;1117;26;1;3;5;408.3;2;0;106.14;35.46
44;44;343;27;10;12;5;308.64;1;0;61.71;31.41
45;45;53;28;216;226;3;10.41;1;0;4.26;1.74
46;46;15;29;564;588;11;110.1;1;0;8.79;7.95
47;47;622;30;556;578;12;199.08;4;0;55.68;15.17
48;48;622;30;556;578;12;163.62;1;0;40.89;2.62
49;49;476;31;587;610;9;118.8;4;0;53.4;8.11
50;50;476;31;587;610;9;16.89;1;0;6.9;1.77
51;51;476;31;587;610;9;17.55;1;0;0.87;1.07
52;52;28;32;493;512;7;824.28;2;0;280.2;90.77
53;53;28;32;493;512;7;589.32;12;0;93.96;59.19
54;54;28;32;493;512;7;314.1;1;0;131.91;33.55
55;55;28;32;493;512;7;321.84;4;0;41.76;22.95
56;56;28;32;493;512;7;109.44;8;0;32.64;13.8
57;57;28;32;493;512;7;46.38;1;0;4.62;6.13
58;58;28;32;493;512;7;54.69;1;0;13.65;5.89
59;59;28;32;493;512;7;38.04;1;0;17.49;4.86
60;60;28;32;493;512;7;50.13;1;0;10.5;4.08
61;61;28;32;493;512;7;17.88;1;0;6.06;1.36
62;62;1202;33;576;598;13;96.96;2;0;12.6;16.76
63;63;1202;33;576;598;13;172.53;1;0;86.25;16.25
64;64;221;34;674;696;3;16.71;1;0;3.15;1.1
65;65;2621;35;664;688;3;46.5;2;0;9.72;2.47
66;66;2621;35;664;688;3;29.49;1;0;3.81;1.91
67;26;2621;35;664;688;3;29.37;1;0;10.26;1.91
68;67;2377;36;605;628;4;599.28;4;0;179.76;43.54
69;68;2377;36;605;628;4;109.32;4;0;14.16;7.31
70;69;2377;36;605;628;4;18.66;1;0;8.94;2.05
71;19;2377;36;605;628;4;27.45;1;0;7.68;1.85
72;70;1115;37;425;442;10;319.77;1;0;121.5;9.19
73;71;1115;37;425;442;10;109.92;2;0;38.46;9.1
74;72;1115;37;425;442;10;71.1;6;0;9.9;8.31
75;73;1115;37;425;442;10;16.5;1;0;4.11;1.79
76;74;1115;37;425;442;10;11.31;1;0;0.99;1.19
77;75;1115;38;688;710;5;234.3;2;0;16.38;11.5
78;76;1115;38;688;710;5;57.48;4;0;12;4.22
79;77;13;39;565;587;10;17.52;1;0;5.43;1.4
80;78;28;40;657;679;3;63.87;1;0;20.43;4.6
81;79;44;41;678;699;14;189.69;1;0;37.92;26.8
82;80;44;41;678;699;14;8.52;1;0;4.08;1.74
83;81;1293;42;704;726;6;1908.72;6;0;190.8;169.7
84;82;1293;42;704;726;6;23.52;1;0;0.45;2.69
85;83;476;43;355;366;3;199.2;2;0;93.6;33.05
86;84;476;43;355;366;3;16.56;1;0;0.99;3.79
87;85;476;43;355;366;3;33.36;2;0;0.96;2.81
88;86;476;43;355;366;3;13.59;1;0;6.78;1.29
89;87;4521;44;484;506;13;391.68;4;0;3.84;4.39
90;88;4521;44;484;506;13;16.53;1;0;7.26;1.8
91;89;1033;45;677;698;3;1447.44;4;0;506.52;199.04
92;90;73;46;799;823;15;166.83;1;0;4.98;10.35
93;91;5;47;826;850;7;63.24;2;0;25.92;12.98
94;92;5;47;826;850;7;48.6;1;0;20.88;10.94
95;93;112;48;744;767;5;31.95;1;0;11.82;2.4
96;94;446;49;940;966;16;78.96;4;0;8.64;4.37
97;95;446;49;940;966;16;12.36;1;0;1.23;2.96
98;96;677;50;978;1004;4;41.28;4;0;18.12;6.07
99;97;942;51;822;848;3;43.05;1;0;10.32;1.28
100;98;981;52;955;980;17;58.44;2;0;7.56;17.18
101;99;981;52;955;980;17;26.28;2;0;6.54;8.57
102;100;70;53;846;871;16;146.76;1;0;42.54;17.73
103;101;207;54;904;929;10;459.24;4;0;100.92;71.81
104;102;207;54;904;929;10;61.71;1;0;4.29;10.8
105;103;207;54;904;929;10;41.16;2;0;19.32;8.44
106;104;207;54;904;929;10;54.66;1;0;2.73;8.37
107;105;207;54;904;929;10;44.7;1;0;8.49;8.3
108;106;1240;55;943;968;3;1050.96;4;0;399.36;64.78
109;107;1697;56;1013;1039;10;63.84;4;0;6.36;11.02
110;108;1697;56;1013;1039;10;60.96;2;0;5.46;7.42
111;66;1697;56;1013;1039;10;29.49;1;0;3.81;1.67
112;109;1697;56;1013;1039;10;19.2;4;0;5.76;1.08
113;110;39;57;774;797;7;246.21;1;0;93.54;21.52
114;111;39;57;774;797;7;32.1;2;0;3.18;2.75
115;112;855;58;867;893;7;110.7;2;0;17.7;8.47
116;113;981;59;1048;1073;12;435.99;1;0;178.74;70.02
117;98;8;60;744;767;18;128.52;4;0;64.2;5.93
118;114;8;60;744;767;18;13.32;2;0;1.14;1.78
119;115;8;60;744;767;18;11.4;2;0;4.74;1.58
120;116;28;61;896;920;3;638.91;1;0;229.98;93.82
121;117;28;61;896;920;3;116.31;1;0;52.32;15.42
122;118;1418;62;960;984;19;147.3;1;0;10.29;50.56
123;119;37;63;780;804;10;46.32;1;0;12.03;3.94
124;120;37;63;780;804;10;18.06;2;0;9;1.2
125;121;37;64;941;967;5;25.23;1;0;6.54;1.66
126;122;95;65;947;972;3;538.44;4;0;252.96;40.92
127;123;95;65;947;972;3;185.76;4;0;18.48;37.71
128;124;95;65;947;972;3;105.72;4;0;43.32;10.97
129;125;95;65;947;972;3;51.78;1;0;1.53;6.05
130;12;95;65;947;972;3;22.86;2;0;8.22;1.28
131;38;3;66;1129;1158;20;196.98;1;0;39.39;15.66
132;126;3;66;1129;1158;20;38.52;1;0;7.29;2.67
133;127;3;66;1129;1158;20;27.24;2;0;13.02;1.97
134;128;3;66;1129;1158;20;44.43;1;0;14.64;1.5
135;129;3;66;1129;1158;20;4.89;1;0;1.17;1.35
136;130;3;66;1129;1158;20;23.79;1;0;2.85;1.24
137;131;250;67;1243;1267;3;73.26;1;0;10.98;24.16
138;102;142;68;1139;1167;15;123.42;2;0;8.58;20.27
139;132;142;68;1139;1167;15;130.32;12;0;51.84;9.15
