Customer State;State Key;Average State GDP
Alabama;1;2800665869
Arizona;2;18205831000
Arkansas;3;1491022543
California;4;39255744159
Colorado;5;4532295902
Connecticut;6;30175987156
Delaware;7;20878402667
District of Columbia;8;1.14391E+11
Florida;9;11932182078
Georgia;10;2896556308
Idaho;11;1375439892
Illinois;12;7169496841
Indiana;13;3333621342
Iowa;14;1637191268
Kansas;15;1358419402
Kentucky;16;1493476263
Louisiana;17;3619597816
Maine;18;3321591719
Maryland;19;14101439448
Massachusetts;20;32396908625
Michigan;21;5172281310
Minnesota;22;3497891333
Mississippi;23;1218117177
Missouri;24;2370631091
Montana;25;769975821.4
Nebraska;26;1142195884
Nevada;27;7668024618
New Hampshire;28;6938746925
New Jersey;29;25050478214
New Mexico;30;2686694447
New York;31;21624667698
North Carolina;32;4523660638
North Dakota;33;1015082594
Ohio;34;6376434713
Oklahoma;35;2385887922
Oregon;36;5029292604
Pennsylvania;37;9852809481
Rhode Island;38;10447618700
South Carolina;39;3955402391
South Dakota;40;669060132.6
Tennessee;41;3062775303
Texas;42;5908472995
Utah;43;4640776672
Vermont;44;2050230875
Virginia;45;3179554896
Washington;46;10783268308
West Virginia;47;1268994959
Wisconsin;48;3888267861
Wyoming;49;1688115283
