Order Full Date Description;Order Date Key;Order Year;Order Season;Order Semester;Order Month Number Year;Order Week Number Year;Order Day Number Month;Order Day Number Week;Order Day Name Week;HolidayKey;HolidayIndicator;WeekendIndicator
40909;1;2012;Winter;1;1;1;1;7;domingo;12;Holiday;Weekend
40910;2;2012;Winter;1;1;1;2;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40911;3;2012;Winter;1;1;1;3;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40912;4;2012;Winter;1;1;1;4;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40913;5;2012;Winter;1;1;1;5;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40914;6;2012;Winter;1;1;1;6;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40915;7;2012;Winter;1;1;1;7;6;sábado;No Key;Non-Holiday;Weekend
40916;8;2012;Winter;1;1;2;8;7;domingo;No Key;Non-Holiday;Weekend
40917;9;2012;Winter;1;1;2;9;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40918;10;2012;Winter;1;1;2;10;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40919;11;2012;Winter;1;1;2;11;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40920;12;2012;Winter;1;1;2;12;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40921;13;2012;Winter;1;1;2;13;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40922;14;2012;Winter;1;1;2;14;6;sábado;No Key;Non-Holiday;Weekend
40923;15;2012;Winter;1;1;3;15;7;domingo;No Key;Non-Holiday;Weekend
40924;16;2012;Winter;1;1;3;16;1;segunda-feira;10;Holiday;Non-Weekend
40925;17;2012;Winter;1;1;3;17;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40926;18;2012;Winter;1;1;3;18;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40927;19;2012;Winter;1;1;3;19;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40928;20;2012;Winter;1;1;3;20;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40929;21;2012;Winter;1;1;3;21;6;sábado;No Key;Non-Holiday;Weekend
40930;22;2012;Winter;1;1;4;22;7;domingo;No Key;Non-Holiday;Weekend
40931;23;2012;Winter;1;1;4;23;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40932;24;2012;Winter;1;1;4;24;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40933;25;2012;Winter;1;1;4;25;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40934;26;2012;Winter;1;1;4;26;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40935;27;2012;Winter;1;1;4;27;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40936;28;2012;Winter;1;1;4;28;6;sábado;No Key;Non-Holiday;Weekend
40937;29;2012;Winter;1;1;5;29;7;domingo;No Key;Non-Holiday;Weekend
40938;30;2012;Winter;1;1;5;30;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40939;31;2012;Winter;1;1;5;31;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40940;32;2012;Winter;1;2;5;1;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40941;33;2012;Winter;1;2;5;2;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40942;34;2012;Winter;1;2;5;3;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40943;35;2012;Winter;1;2;5;4;6;sábado;No Key;Non-Holiday;Weekend
40944;36;2012;Winter;1;2;6;5;7;domingo;No Key;Non-Holiday;Weekend
40945;37;2012;Winter;1;2;6;6;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40946;38;2012;Winter;1;2;6;7;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40947;39;2012;Winter;1;2;6;8;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
