Order ID;Order Key;Returned Indicator;Ship Mode;Order Priority
AE-2012-PO8865138-41184;1;Not Returned;Standard Class;Medium
AE-2014-EB4110138-41926;2;Not Returned;Same Day;High
AE-2014-MY7380138-42004;3;Returned;Second Class;High
AE-2015-GH4665138-42351;4;Not Returned;Standard Class;Medium
AE-2015-JD5790138-42070;5;Not Returned;Standard Class;Medium
AE-2015-PG8820138-42313;6;Not Returned;First Class;Critical
AG-2012-AA6453-41020;7;Not Returned;First Class;High
AG-2012-AC4203-40915;8;Not Returned;Standard Class;Medium
AG-2012-AH2103-41133;9;Not Returned;Standard Class;Medium
AG-2012-AJ7803-40978;10;Not Returned;Standard Class;Medium
AG-2012-AS2853-41235;11;Not Returned;Standard Class;Medium
AG-2012-BC11253-41219;12;Not Returned;Standard Class;Medium
AG-2012-BM17853-41052;13;Not Returned;First Class;Critical
AG-2012-BM17853-41085;14;Not Returned;Standard Class;Medium
AG-2012-CC23703-40970;15;Not Returned;Standard Class;Medium
AG-2012-DB32103-41257;16;Not Returned;Standard Class;Medium
AG-2012-DH36753-41136;17;Not Returned;Standard Class;Medium
AG-2012-DK28353-41264;18;Not Returned;First Class;Medium
AG-2012-EG39003-41262;19;Not Returned;Standard Class;Low
AG-2012-JH59853-41214;20;Not Returned;First Class;High
AG-2012-MW82203-41108;21;Not Returned;Standard Class;Medium
AG-2012-MW82203-41268;22;Not Returned;Same Day;Medium
AG-2012-OT87303-41262;23;Not Returned;Standard Class;Medium
AG-2012-RO97803-40964;24;Not Returned;Same Day;Critical
AG-2012-RS97653-41074;25;Not Returned;Same Day;Critical
AG-2012-TB112803-40909;26;Not Returned;Standard Class;Medium
AG-2012-TH112353-40918;27;Not Returned;Second Class;Medium
AG-2012-TT110703-41133;28;Not Returned;Second Class;Medium
AG-2013-AA4803-41494;29;Not Returned;Standard Class;Medium
AG-2013-BP12303-41486;30;Not Returned;Standard Class;Medium
AG-2013-CC24303-41517;31;Not Returned;Standard Class;Medium
AG-2013-CP23403-41422;32;Not Returned;Second Class;Medium
AG-2013-DC32853-41506;33;Not Returned;Standard Class;High
AG-2013-GH44103-41604;34;Not Returned;Standard Class;Medium
AG-2013-KF62853-41594;35;Not Returned;Standard Class;Medium
AG-2013-LC70503-41535;36;Not Returned;Standard Class;Medium
AG-2013-LM70653-41352;37;Not Returned;First Class;Medium
AG-2013-LM70653-41618;38;Not Returned;Standard Class;Medium
AG-2013-MP74703-41495;39;Not Returned;Standard Class;Medium
AG-2013-MV81903-41587;40;Not Returned;Standard Class;Medium
AG-2013-PF91653-41608;41;Not Returned;Second Class;Critical
AG-2013-PO88653-41634;42;Returned;Standard Class;High
AG-2013-RB95703-41278;43;Not Returned;Same Day;High
AG-2013-SZ100353-41413;44;Not Returned;Standard Class;Medium
AG-2013-TS115053-41607;45;Not Returned;First Class;Medium
AG-2014-AG7653-41731;46;Not Returned;Standard Class;Medium
AG-2014-AH100753-41760;47;Not Returned;First Class;High
AG-2014-AR3453-41674;48;Not Returned;Standard Class;Medium
AG-2014-BO14253-41874;49;Not Returned;Second Class;High
AG-2014-BT14853-41912;50;Not Returned;Standard Class;High
AG-2014-CM21603-41755;51;Returned;Standard Class;Medium
AG-2014-CP20853-41889;52;Returned;Second Class;Critical
AG-2014-CS18603-41780;53;Not Returned;First Class;High
AG-2014-DB32703-41838;54;Not Returned;Second Class;High
AG-2014-DJ35103-41877;55;Not Returned;Second Class;Medium
AG-2014-ES40803-41948;56;Not Returned;First Class;Medium
