Ship Full Date Description;Ship Date Key;Ship Year;Ship Season;Ship Semester;Ship Month Number Year;Ship Week Number Year;Ship Day Number Month;Ship Day Number Week;Ship Day Name Week;Holiday Key;Holiday Indicator;Weekend Indicator
40911;1;2012;Winter;1;1;1;3;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40913;2;2012;Winter;1;1;1;5;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40914;3;2012;Winter;1;1;1;6;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40915;4;2012;Winter;1;1;1;7;6;sábado;No Key;Non-Holiday;Weekend
40916;5;2012;Winter;1;1;2;8;7;domingo;No Key;Non-Holiday;Weekend
40917;6;2012;Winter;1;1;2;9;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40918;7;2012;Winter;1;1;2;10;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40919;8;2012;Winter;1;1;2;11;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40920;9;2012;Winter;1;1;2;12;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40921;10;2012;Winter;1;1;2;13;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40922;11;2012;Winter;1;1;2;14;6;sábado;No Key;Non-Holiday;Weekend
40923;12;2012;Winter;1;1;3;15;7;domingo;No Key;Non-Holiday;Weekend
40924;13;2012;Winter;1;1;3;16;1;segunda-feira;10;Holiday;Non-Weekend
40925;14;2012;Winter;1;1;3;17;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40926;15;2012;Winter;1;1;3;18;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40927;16;2012;Winter;1;1;3;19;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40928;17;2012;Winter;1;1;3;20;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40929;18;2012;Winter;1;1;3;21;6;sábado;No Key;Non-Holiday;Weekend
40930;19;2012;Winter;1;1;4;22;7;domingo;No Key;Non-Holiday;Weekend
40931;20;2012;Winter;1;1;4;23;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40932;21;2012;Winter;1;1;4;24;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40933;22;2012;Winter;1;1;4;25;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40934;23;2012;Winter;1;1;4;26;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40935;24;2012;Winter;1;1;4;27;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40936;25;2012;Winter;1;1;4;28;6;sábado;No Key;Non-Holiday;Weekend
40937;26;2012;Winter;1;1;5;29;7;domingo;No Key;Non-Holiday;Weekend
40938;27;2012;Winter;1;1;5;30;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40939;28;2012;Winter;1;1;5;31;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40940;29;2012;Winter;1;2;5;1;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40941;30;2012;Winter;1;2;5;2;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40942;31;2012;Winter;1;2;5;3;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40943;32;2012;Winter;1;2;5;4;6;sábado;No Key;Non-Holiday;Weekend
40944;33;2012;Winter;1;2;6;5;7;domingo;No Key;Non-Holiday;Weekend
40945;34;2012;Winter;1;2;6;6;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40946;35;2012;Winter;1;2;6;7;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40947;36;2012;Winter;1;2;6;8;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40948;37;2012;Winter;1;2;6;9;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40949;38;2012;Winter;1;2;6;10;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40950;39;2012;Winter;1;2;6;11;6;sábado;No Key;Non-Holiday;Weekend
40951;40;2012;Winter;1;2;7;12;7;domingo;No Key;Non-Holiday;Weekend
40952;41;2012;Winter;1;2;7;13;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40953;42;2012;Winter;1;2;7;14;2;terça-feira;16;Holiday;Non-Weekend
40954;43;2012;Winter;1;2;7;15;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40955;44;2012;Winter;1;2;7;16;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40957;45;2012;Winter;1;2;7;18;6;sábado;No Key;Non-Holiday;Weekend
40958;46;2012;Winter;1;2;8;19;7;domingo;No Key;Non-Holiday;Weekend
40959;47;2012;Winter;1;2;8;20;1;segunda-feira;18;Holiday;Non-Weekend
40960;48;2012;Winter;1;2;8;21;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40961;49;2012;Winter;1;2;8;22;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40962;50;2012;Winter;1;2;8;23;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40963;51;2012;Winter;1;2;8;24;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40964;52;2012;Winter;1;2;8;25;6;sábado;No Key;Non-Holiday;Weekend
40965;53;2012;Winter;1;2;9;26;7;domingo;No Key;Non-Holiday;Weekend
40966;54;2012;Winter;1;2;9;27;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40967;55;2012;Winter;1;2;9;28;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40968;56;2012;Winter;1;2;9;29;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40969;57;2012;Winter;1;3;9;1;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40970;58;2012;Winter;1;3;9;2;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40971;59;2012;Winter;1;3;9;3;6;sábado;No Key;Non-Holiday;Weekend
40972;60;2012;Winter;1;3;10;4;7;domingo;No Key;Non-Holiday;Weekend
40973;61;2012;Winter;1;3;10;5;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40974;62;2012;Winter;1;3;10;6;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40975;63;2012;Winter;1;3;10;7;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40976;64;2012;Winter;1;3;10;8;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40977;65;2012;Winter;1;3;10;9;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40978;66;2012;Winter;1;3;10;10;6;sábado;No Key;Non-Holiday;Weekend
40979;67;2012;Winter;1;3;11;11;7;domingo;No Key;Non-Holiday;Weekend
40980;68;2012;Winter;1;3;11;12;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40981;69;2012;Winter;1;3;11;13;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40982;70;2012;Winter;1;3;11;14;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40983;71;2012;Winter;1;3;11;15;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40984;72;2012;Winter;1;3;11;16;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40985;73;2012;Winter;1;3;11;17;6;sábado;No Key;Non-Holiday;Weekend
40986;74;2012;Winter;1;3;12;18;7;domingo;No Key;Non-Holiday;Weekend
40987;75;2012;Winter;1;3;12;19;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40988;76;2012;Spring;1;3;12;20;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40989;77;2012;Spring;1;3;12;21;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40990;78;2012;Spring;1;3;12;22;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40991;79;2012;Spring;1;3;12;23;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40992;80;2012;Spring;1;3;12;24;6;sábado;No Key;Non-Holiday;Weekend
40993;81;2012;Spring;1;3;13;25;7;domingo;No Key;Non-Holiday;Weekend
40994;82;2012;Spring;1;3;13;26;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
40995;83;2012;Spring;1;3;13;27;2;terça-feira;No Key;Non-Holiday;Non-Weekend
40996;84;2012;Spring;1;3;13;28;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
40997;85;2012;Spring;1;3;13;29;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
40998;86;2012;Spring;1;3;13;30;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
40999;87;2012;Spring;1;3;13;31;6;sábado;No Key;Non-Holiday;Weekend
41000;88;2012;Spring;1;4;14;1;7;domingo;No Key;Non-Holiday;Weekend
41001;89;2012;Spring;1;4;14;2;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
